hgnc_id	Level2
HGNC:17582	Neurology and neurodevelopmental disorders
HGNC:26953	Neurology and neurodevelopmental disorders
HGNC:30372	Neurology and neurodevelopmental disorders
HGNC:16905	Neurology and neurodevelopmental disorders
HGNC:15646	Neurology and neurodevelopmental disorders
HGNC:6482	Neurology and neurodevelopmental disorders
HGNC:6511	Neurology and neurodevelopmental disorders
HGNC:18712	Neurology and neurodevelopmental disorders
HGNC:6649	Neurology and neurodevelopmental disorders
HGNC:7448	Neurology and neurodevelopmental disorders
HGNC:7525	Neurology and neurodevelopmental disorders
HGNC:7549	Neurology and neurodevelopmental disorders
HGNC:7572	Neurology and neurodevelopmental disorders
HGNC:7573	Neurology and neurodevelopmental disorders
HGNC:7577	Neurology and neurodevelopmental disorders
HGNC:7578	Neurology and neurodevelopmental disorders
HGNC:33778	Neurology and neurodevelopmental disorders
HGNC:19082	Neurology and neurodevelopmental disorders
HGNC:7720	Neurology and neurodevelopmental disorders
HGNC:8850	Neurology and neurodevelopmental disorders
HGNC:8851	Neurology and neurodevelopmental disorders
HGNC:8853	Neurology and neurodevelopmental disorders
HGNC:8854	Neurology and neurodevelopmental disorders
HGNC:8855	Neurology and neurodevelopmental disorders
HGNC:8856	Neurology and neurodevelopmental disorders
HGNC:8857	Neurology and neurodevelopmental disorders
HGNC:9713	Neurology and neurodevelopmental disorders
HGNC:9717	Neurology and neurodevelopmental disorders
HGNC:22965	Neurology and neurodevelopmental disorders
HGNC:8858	Neurology and neurodevelopmental disorders
HGNC:9719	Neurology and neurodevelopmental disorders
HGNC:8859	Neurology and neurodevelopmental disorders
HGNC:8860	Neurology and neurodevelopmental disorders
HGNC:8877	Neurology and neurodevelopmental disorders
HGNC:26270	Neurology and neurodevelopmental disorders
HGNC:9081	Neurology and neurodevelopmental disorders
HGNC:9082	Neurology and neurodevelopmental disorders
HGNC:19139	Neurology and neurodevelopmental disorders
HGNC:25902	Neurology and neurodevelopmental disorders
HGNC:26267	Neurology and neurodevelopmental disorders
HGNC:9202	Neurology and neurodevelopmental disorders
HGNC:19743	Neurology and neurodevelopmental disorders
HGNC:9208	Neurology and neurodevelopmental disorders
HGNC:9364	Neurology and neurodevelopmental disorders
HGNC:9863	Neurology and neurodevelopmental disorders
HGNC:496	Neurology and neurodevelopmental disorders
HGNC:10483	Neurology and neurodevelopmental disorders
HGNC:19869	Neurology and neurodevelopmental disorders
HGNC:10591	Neurology and neurodevelopmental disorders
HGNC:15999	Neurology and neurodevelopmental disorders
HGNC:10896	Neurology and neurodevelopmental disorders
HGNC:14025	Neurology and neurodevelopmental disorders
HGNC:6769	Neurology and neurodevelopmental disorders
HGNC:6770	Neurology and neurodevelopmental disorders
HGNC:11768	Neurology and neurodevelopmental disorders
HGNC:11769	Neurology and neurodevelopmental disorders
HGNC:11772	Neurology and neurodevelopmental disorders
HGNC:11773	Neurology and neurodevelopmental disorders
HGNC:13530	Neurology and neurodevelopmental disorders
HGNC:11946	Neurology and neurodevelopmental disorders
HGNC:11948	Neurology and neurodevelopmental disorders
HGNC:11950	Neurology and neurodevelopmental disorders
HGNC:12011	Neurology and neurodevelopmental disorders
HGNC:12012	Neurology and neurodevelopmental disorders
HGNC:18083	Neurology and neurodevelopmental disorders
HGNC:27561	Neurology and neurodevelopmental disorders
HGNC:12469	Neurology and neurodevelopmental disorders
HGNC:20347	Neurology and neurodevelopmental disorders
HGNC:12712	Neurology and neurodevelopmental disorders
HGNC:24931	Neurology and neurodevelopmental disorders
HGNC:12877	Neurology and neurodevelopmental disorders
HGNC:1318	Renal and urinary tract disorders
HGNC:6953	Renal and urinary tract disorders
HGNC:1037	Renal and urinary tract disorders
HGNC:4883	Renal and urinary tract disorders
HGNC:4888	Renal and urinary tract disorders
HGNC:16980	Renal and urinary tract disorders
HGNC:5394	Renal and urinary tract disorders
HGNC:2852	Renal and urinary tract disorders
HGNC:801	Hearing and ear disorders
HGNC:29502	Hearing and ear disorders
HGNC:8140	Hearing and ear disorders
HGNC:8515	Hearing and ear disorders
HGNC:14637	Dermatological disorders
HGNC:430	Dermatological disorders
HGNC:13743	Dermatological disorders
HGNC:23752	Dermatological disorders
HGNC:26820	Dermatological disorders
HGNC:28018	Dermatological disorders
HGNC:21246	Dermatological disorders
HGNC:29958	Dermatological disorders
HGNC:10998	Dermatological disorders
HGNC:11344	Dermatological disorders
HGNC:11425	Dermatological disorders
HGNC:11459	Dermatological disorders
HGNC:11777	Dermatological disorders
	Dermatological disorders
