MGI_ID	HGNC_ID	Window_Category	pLI	pRec
MGI:88107	HGNC:801	Late-gestation	1	3.24e-08
MGI:102519	HGNC:2475	Late-gestation	0.0039011	0.6608
MGI:109347	HGNC:6724	Late-gestation	0.07696	0.87736
MGI:1195985	HGNC:1554	Late-gestation	0.98196	0.018041
MGI:1197012	HGNC:303	Late-gestation	7.3471e-11	0.99999
MGI:1276109	HGNC:2032	Late-gestation	0.0010103	0.83171
MGI:1309469	HGNC:1513	Late-gestation	1.3885e-12	0.051175
MGI:1337104	HGNC:3522	Late-gestation	0.04872	0.95128
MGI:1343085	HGNC:11254	Late-gestation	0.99922	0.0007829
MGI:1353633	HGNC:4010	Late-gestation	0.9993	0.00069526
MGI:1915091	HGNC:20962	Late-gestation	0.00071299	0.99574
MGI:1916161	HGNC:30257	Late-gestation	0.96676	0.03319
MGI:1916987	HGNC:21586	Late-gestation	0.35695	0.64257
MGI:1917167	HGNC:28412	Late-gestation	0.97257	0.027398
MGI:1919257	HGNC:24670	Late-gestation	1	8.1792e-12
MGI:1921293	HGNC:22965	Late-gestation	0.93189	0.068045
MGI:1921462	HGNC:23247	Late-gestation	0.0088801	0.94176
MGI:1927753	HGNC:21474	Late-gestation	0.0031048	0.99478
MGI:1928948	HGNC:30386	Late-gestation	0.65099	0.34791
MGI:1930088	HGNC:17412	Late-gestation	0.94791	0.051941
MGI:2141101	HGNC:18423	Late-gestation	0.1165	0.8835
MGI:2147616	HGNC:23077	Late-gestation	0.97107	0.028927
MGI:2445208	HGNC:21478	Late-gestation	0.00040925	0.99959
MGI:2682305	HGNC:18118	Late-gestation	1	1.7162e-11
MGI:2685844	HGNC:13997	Late-gestation	0.93018	0.069757
MGI:3528383	HGNC:9529	Late-gestation	0.26016	0.73468
MGI:3584043	HGNC:26594	Late-gestation	0.00010263	0.94894
MGI:88289	HGNC:1552	Late-gestation	0.99503	0.0049661
MGI:88421	HGNC:2085	Late-gestation	0.0095685	0.61175
MGI:96269	HGNC:9847	Late-gestation	0.82235	0.17689
MGI:96770	HGNC:6551	Late-gestation	0.99789	0.0021106
MGI:96788	HGNC:6597	Late-gestation	1.4888e-13	0.99985
MGI:97383	HGNC:8031	Late-gestation	1.9568e-06	0.99976
MGI:97496	HGNC:8634	Late-gestation	0.36301	0.6369
MGI:97815	HGNC:9681	Late-gestation	0.99983	0.00016933
MGI:98250	HGNC:10591	Late-gestation	0.01294	0.98706
MGI:98727	HGNC:11769	Late-gestation	0.98727	0.012729
MGI:98960	HGNC:12785	Late-gestation	0.016431	0.96208
MGI:98970	HGNC:12801	Late-gestation	0.032014	0.95979
MGI:99960	HGNC:3508	Late-gestation	0.99981	0.00019477
MGI:1922941	HGNC:26724	Late-gestation	6.9447e-06	0.99906
MGI:1913761	HGNC:24511	Late-gestation	0.76399	0.23594
MGI:97788	HGNC:9577	Late-gestation	0.00096703	0.8246
MGI:2145950	HGNC:30377	Late-gestation	0.92926	0.070736
MGI:104723	HGNC:3687	Late-gestation	0.94704	0.052796
MGI:1891434	HGNC:15580	Late-gestation	2.6099e-37	0.90711
MGI:108426	HGNC:16636	Late-gestation	1	6.8768e-10
MGI:1270862	HGNC:904	Late-gestation	0.57015	0.42985
MGI:1338027	HGNC:4216	Late-gestation	0.97645	0.023548
MGI:1345283	HGNC:10979	Late-gestation	0.058829	0.93793
MGI:1916165	HGNC:21642	Late-gestation	5.8321e-17	0.99997
MGI:1917347	HGNC:19182	Late-gestation	0.001802	0.9982
MGI:1924295	HGNC:1004	Late-gestation	0.07823	0.91185
MGI:2140361	HGNC:20800	Late-gestation	0.00035546	0.99015
MGI:2146388	HGNC:29119	Late-gestation	0.99988	0.00011803
MGI:2159402	HGNC:18287	Late-gestation	0.91622	0.083275
MGI:2443582	HGNC:23	Late-gestation	0.0063216	0.99352
MGI:3781032	HGNC:6259	Late-gestation	0.013685	0.95862
MGI:99607	HGNC:29	Late-gestation	1.4525e-13	1
MGI:1277991	HGNC:2663	Late-gestation	0.99954	0.00045807
MGI:1345162	HGNC:202	Late-gestation	0.99709	0.0029098
MGI:1352451	HGNC:7975	Late-gestation	0.99482	0.0051832
MGI:1914004	HGNC:3823	Late-gestation	0.99998	1.6209e-05
MGI:1917580	HGNC:16863	Late-gestation	2.0629e-14	0.81009
MGI:1919020	HGNC:563	Late-gestation	0.9983	0.0017042
MGI:1926421	HGNC:15630	Late-gestation	0.99996	4.3567e-05
MGI:1929913	HGNC:13222	Late-gestation	0.98881	0.011192
MGI:2385311	HGNC:2896	Late-gestation	2.2998e-08	0.97351
MGI:88121	HGNC:894	Late-gestation	0.074413	0.75909
MGI:95775	HGNC:4389	Late-gestation	0.98963	0.010369
MGI:1922680	HGNC:24531	Late-gestation	0.29581	0.68624
MGI:1098270	HGNC:6189	Late-gestation	1	5.3891e-08
MGI:1197515	HGNC:14358	Late-gestation	0.0004765	0.88401
MGI:1351614	HGNC:4699	Late-gestation	4.8291e-12	0.055271
MGI:1915862	HGNC:15937	Late-gestation	0.10513	0.86655
MGI:1927237	HGNC:17429	Late-gestation	1.8942e-31	0.050021
MGI:2442308	HGNC:25945	Late-gestation	0.00093584	0.81915
MGI:1261831	HGNC:4812	Late-gestation	3.3512e-26	1.7763e-05
MGI:1861722	HGNC:409	Late-gestation	0.14128	0.85857
MGI:1916279	HGNC:25055	Late-gestation	0.18284	0.6576
MGI:97297	HGNC:7727	Late-gestation	8.7208e-13	1
MGI:102672	HGNC:10473	Late-gestation	0.84295	0.15694
MGI:103582	HGNC:3437	Late-gestation	2.732e-13	0.99238
MGI:105058	HGNC:811	Late-gestation	1.5354e-14	0.98106
MGI:1194504	HGNC:6256	Late-gestation	0.1502	0.83433
MGI:1298224	HGNC:8996	Late-gestation	0.97704	0.022964
MGI:1332234	HGNC:12933	Late-gestation	0.99997	3.4158e-05
MGI:1341822	HGNC:12741	Late-gestation	0.43982	0.55894
MGI:1351617	HGNC:33	Late-gestation	6.6226e-08	1
MGI:1354742	HGNC:557	Late-gestation	0.93079	0.069206
MGI:1354961	HGNC:11503	Late-gestation	0.42709	0.57291
MGI:1890520	HGNC:13488	Late-gestation	0.94474	0.055257
MGI:1918305	HGNC:10663	Late-gestation	0.00035788	0.99964
MGI:1925542	HGNC:25896	Late-gestation	1.9068e-05	0.2809
MGI:1926102	HGNC:29025	Late-gestation	0.99958	0.0004169
MGI:1926225	HGNC:23095	Late-gestation	0.010603	0.98904
MGI:1932915	HGNC:17620	Late-gestation	0.98351	0.016487
MGI:2442638	HGNC:25404	Late-gestation	8.6719e-19	0.0042099
MGI:2447076	HGNC:25484	Late-gestation	0.99999	1.3785e-05
MGI:95517	HGNC:3681	Late-gestation	9.3139e-05	0.35505
MGI:96650	HGNC:6207	Late-gestation	0.00080103	0.99908
MGI:97376	HGNC:7989	Late-gestation	0.49009	0.50578
MGI:97603	HGNC:9008	Late-gestation	1	7.6238e-12
MGI:1196429	HGNC:29091	Late-gestation	0.96359	0.036411
MGI:1344412	HGNC:15710	Late-gestation	9.5733e-06	0.9994
MGI:1918711	HGNC:9618	Late-gestation	0.99721	0.0027887
MGI:1919995	HGNC:28483	Late-gestation	1.2449e-05	0.99799
MGI:1935151	HGNC:6350	Late-gestation	0.98178	0.01821
MGI:2147134	HGNC:13590	Late-gestation	1	1.0697e-07
MGI:2147810	HGNC:31092	Late-gestation	2.041e-09	0.99255
MGI:2156052	HGNC:16703	Late-gestation	0.16199	0.83798
MGI:3582693	HGNC:29456	Late-gestation	1.2719e-09	0.93691
MGI:891996	HGNC:2323	Late-gestation	1.0947e-09	1
MGI:99422	HGNC:9863	Late-gestation	0.0015148	0.9926
MGI:99602	HGNC:319	Late-gestation	1	4.1087e-07
MGI:99659	HGNC:10483	Late-gestation	1.5944e-29	1
MGI:105491	HGNC:1769	Early-gestation	0.13014	0.84997
MGI:1328337	HGNC:8487	Early-gestation	1.7297e-14	0.93062
MGI:1925927	HGNC:10062	Early-gestation	1.7545e-10	1
MGI:103202	HGNC:291	Early-gestation	8.9207e-12	0.45355
MGI:108278	HGNC:12491	Early-gestation	0.79769	0.20124
MGI:109129	HGNC:11540	Early-gestation	8.2703e-09	0.99503
MGI:109207	HGNC:3297	Early-gestation	1	8.605e-09
MGI:1096397	HGNC:17264	Early-gestation	0.9998	0.00020244
MGI:1096879	HGNC:3951	Early-gestation	0.34491	0.64281
MGI:1099835	HGNC:10898	Early-gestation	1.2931e-22	0.81522
MGI:1328366	HGNC:11103	Early-gestation	0.9971	0.0029018
MGI:1342005	HGNC:7432	Early-gestation	0.0044614	0.99554
MGI:1344380	HGNC:1919	Early-gestation	1	6.3643e-11
MGI:1344416	HGNC:744	Early-gestation	0.99968	0.00031653
MGI:1346082	HGNC:6201	Early-gestation	0.42432	0.56891
MGI:1858420	HGNC:6960	Early-gestation	0.16561	0.83436
MGI:1860263	HGNC:3043	Early-gestation	0.00034234	0.95437
MGI:1861452	HGNC:23215	Early-gestation	6.1434e-11	0.9906
MGI:1888520	HGNC:13575	Early-gestation	1	1.8298e-10
MGI:1913390	HGNC:28006	Early-gestation	1.996e-07	0.078576
MGI:1913711	HGNC:26965	Early-gestation	0.012681	0.86756
MGI:1913788	HGNC:28749	Early-gestation	2.6748e-05	0.33258
MGI:1913950	HGNC:29865	Early-gestation	0.0040006	0.96287
MGI:1914039	HGNC:28287	Early-gestation	0.00093727	0.81941
MGI:1914195	HGNC:10680	Early-gestation	2.6088e-10	0.97249
MGI:1914454	HGNC:3266	Early-gestation	0.95327	0.046728
MGI:1914864	HGNC:18303	Early-gestation	0.00014523	0.99956
MGI:1915383	HGNC:4208	Early-gestation	0.001602	0.70917
MGI:1915826	HGNC:17955	Early-gestation	3.8329e-06	0.21764
MGI:1916260	HGNC:24540	Early-gestation	0.0013703	0.43984
MGI:1916442	HGNC:2739	Early-gestation	1.5996e-12	0.99999
MGI:1916457	HGNC:10782	Early-gestation	0.99806	0.0019398
MGI:1917583	HGNC:24219	Early-gestation	0.031626	0.6204
MGI:1917819	HGNC:30696	Early-gestation	0.0005724	0.99943
MGI:1920136	HGNC:25518	Early-gestation	8.2518e-07	0.75433
MGI:1920328	HGNC:9119	Early-gestation	4.5335e-08	0.95307
MGI:1922656	HGNC:7714	Early-gestation	0.9142	0.085689
MGI:1922702	HGNC:24103	Early-gestation	0.031027	0.96897
MGI:1923036	HGNC:28959	Early-gestation	1	2.2967e-10
MGI:1923847	HGNC:28226	Early-gestation	0.00013735	0.8669
MGI:1925349	HGNC:33499	Early-gestation	1.9918e-05	0.99977
MGI:1927170	HGNC:18119	Early-gestation	9.0776e-20	0.055756
MGI:1929872	HGNC:24862	Early-gestation	5.8071e-11	0.83562
MGI:1934754	HGNC:6215	Early-gestation	4.211e-09	0.94319
MGI:2137225	HGNC:14487	Early-gestation	0.3655	0.58931
MGI:2137624	HGNC:19702	Early-gestation	0.057971	0.94189
MGI:2384891	HGNC:10007	Early-gestation	0.32394	0.67544
MGI:2442620	HGNC:18016	Early-gestation	9.2587e-05	0.99991
MGI:2676395	HGNC:26162	Early-gestation	6.2976e-09	0.87044
MGI:1918366	HGNC:15942	Early-gestation	2.4881e-07	0.91094
MGI:101785	HGNC:7548	Early-gestation	0.12226	0.87774
MGI:102964	HGNC:24085	Early-gestation	0.0058306	0.97432
MGI:103075	HGNC:12761	Early-gestation	0.99973	0.0002697
MGI:103077	HGNC:11438	Early-gestation	0.041297	0.95756
MGI:103199	HGNC:6947	Early-gestation	0.00014571	0.99984
MGI:103286	HGNC:865	Early-gestation	0.99797	0.0020346
MGI:104683	HGNC:3782	Early-gestation	0.94721	0.052786
MGI:104767	HGNC:4556	Early-gestation	4.7865e-05	0.67342
MGI:106354	HGNC:28122	Early-gestation	0.077601	0.91235
MGI:107416	HGNC:11467	Early-gestation	0.0008774	0.80815
MGI:107624	HGNC:7530	Early-gestation	0.16679	0.83267
MGI:107801	HGNC:830	Early-gestation	0.97679	0.023212
MGI:109618	HGNC:854	Early-gestation	0.99154	0.0084629
MGI:1098673	HGNC:19990	Early-gestation	0.00069453	0.99931
MGI:1100514	HGNC:9162	Early-gestation	0.11262	0.88738
MGI:1194508	HGNC:2728	Early-gestation	0.00061409	0.995
MGI:1201778	HGNC:13724	Early-gestation	0.98763	0.012372
MGI:1261847	HGNC:12718	Early-gestation	0.0021149	0.99714
MGI:1309511	HGNC:1745	Early-gestation	4.4296e-06	0.99133
MGI:1328368	HGNC:1780	Early-gestation	8.893e-05	0.93891
MGI:1336155	HGNC:6708	Early-gestation	1.813e-07	0.99999
MGI:1351328	HGNC:17364	Early-gestation	0.99296	0.0070405
MGI:1859214	HGNC:9115	Early-gestation	1.4072e-17	0.00042569
MGI:1890613	HGNC:8848	Early-gestation	0.71904	0.28096
MGI:1913298	HGNC:28430	Early-gestation	0.52298	0.41889
MGI:1913399	HGNC:20361	Early-gestation	0.64582	0.33014
MGI:1913585	HGNC:856	Early-gestation	0.00015353	0.99338
MGI:1913743	HGNC:14044	Early-gestation	0.032765	0.83089
MGI:1913868	HGNC:30240	Early-gestation	0.00019763	0.91085
MGI:1914000	HGNC:28346	Early-gestation	1.0564e-06	0.35031
MGI:1914071	HGNC:1020	Early-gestation	4.6972e-13	0.098237
MGI:1914249	HGNC:24628	Early-gestation	0.00011083	0.61397
MGI:1914479	HGNC:17351	Early-gestation	0.00026823	0.98566
MGI:1914532	HGNC:24256	Early-gestation	0.0045705	0.88525
MGI:1914690	HGNC:25532	Early-gestation	0.99904	0.00095518
MGI:1915283	HGNC:28074	Early-gestation	0.0043158	0.44589
MGI:1915609	HGNC:28737	Early-gestation	0.069318	0.87757
MGI:1915671	HGNC:23038	Early-gestation	9.0253e-11	0.89644
MGI:1915813	HGNC:3007	Early-gestation	0.23318	0.65526
MGI:1917110	HGNC:28147	Early-gestation	0.0034032	0.84595
MGI:1917678	HGNC:30348	Early-gestation	1.6812e-23	0.84534
MGI:1917810	HGNC:12730	Early-gestation	0.050885	0.94506
MGI:1919240	HGNC:20084	Early-gestation	4.7418e-09	0.99991
MGI:1919277	HGNC:17129	Early-gestation	0.00031401	0.99735
MGI:1920112	HGNC:2263	Early-gestation	1.1031e-13	0.042855
MGI:1920185	HGNC:18674	Early-gestation	5.5908e-08	0.99841
MGI:1921084	HGNC:13527	Early-gestation	4.5061e-05	0.96494
MGI:1921850	HGNC:16652	Early-gestation	0.00042814	0.96576
MGI:1922877	HGNC:11134	Early-gestation	2.3628e-16	0.0043192
MGI:1923428	HGNC:33848	Early-gestation	0.018348	0.74295
MGI:1927165	HGNC:17563	Early-gestation	1.799e-07	0.99284
MGI:1932127	HGNC:13949	Early-gestation	7.9526e-11	0.040531
MGI:1933169	HGNC:17059	Early-gestation	0.69536	0.30464
MGI:2142527	HGNC:24659	Early-gestation	0.99902	0.0009756
MGI:2144727	HGNC:2734	Early-gestation	0.99449	0.0055072
MGI:2147627	HGNC:12840	Early-gestation	0.0010047	0.99855
MGI:2152819	HGNC:17978	Early-gestation	0.022667	0.77935
MGI:2155302	HGNC:21082	Early-gestation	2.0818e-07	1
MGI:2384298	HGNC:22973	Early-gestation	1	9.8927e-12
MGI:2384801	HGNC:4549	Early-gestation	0.99819	0.0018067
MGI:2384836	HGNC:24496	Early-gestation	2.0063e-08	0.87661
MGI:2385112	HGNC:7708	Early-gestation	0.0014212	0.99852
MGI:2385165	HGNC:15909	Early-gestation	0.99926	0.0007386
MGI:2385191	HGNC:4648	Early-gestation	0.00011548	0.95607
MGI:2681836	HGNC:30074	Early-gestation	1.2821e-23	0.80028
MGI:3607791	HGNC:30220	Early-gestation	3.7445e-13	0.28941
MGI:87948	HGNC:292	Early-gestation	0.32971	0.67026
MGI:87968	HGNC:343	Early-gestation	0.035922	0.96266
MGI:88393	HGNC:1915	Early-gestation	1	8.9791e-10
MGI:88473	HGNC:2265	Early-gestation	0.39416	0.59736
MGI:894323	HGNC:9848	Early-gestation	1	1.7948e-13
MGI:94890	HGNC:2861	Early-gestation	0.0343	0.93157
MGI:95300	HGNC:3260	Early-gestation	0.96117	0.038835
MGI:95414	HGNC:3435	Early-gestation	3.4312e-11	0.99556
MGI:95588	HGNC:3976	Early-gestation	0.13999	0.84248
MGI:95654	HGNC:4163	Early-gestation	0.00027711	0.99972
MGI:95835	HGNC:5238	Early-gestation	0.77341	0.22658
MGI:95909	HGNC:4927	Early-gestation	0.082078	0.91603
MGI:97621	HGNC:9077	Early-gestation	0.97851	0.021489
MGI:97838	HGNC:3418	Early-gestation	1.0353e-09	1
MGI:104643	HGNC:8762	Early-gestation	3.8955e-07	0.37016
MGI:109345	HGNC:16850	Early-gestation	1	1.2478e-08
MGI:1194493	HGNC:21095	Early-gestation	0.058681	0.87444
MGI:1355319	HGNC:9137	Early-gestation	1.7871e-11	0.37467
MGI:1855697	HGNC:838	Early-gestation	0.0088748	0.5957
MGI:1859293	HGNC:10549	Early-gestation	0.00034514	0.99761
MGI:1913609	HGNC:26970	Early-gestation	0.020118	0.75934
MGI:1913699	HGNC:29679	Early-gestation	0.23509	0.73537
MGI:1914060	HGNC:25503	Early-gestation	0.99947	0.00053483
MGI:1915217	HGNC:20932	Early-gestation	0.99776	0.0022415
MGI:1919586	HGNC:29685	Early-gestation	0.081336	0.91866
MGI:1924971	HGNC:14498	Early-gestation	0.00036306	0.99774
MGI:2136773	HGNC:29322	Early-gestation	0.0008992	0.9991
MGI:2445102	HGNC:16718	Early-gestation	9.1366e-06	0.99936
MGI:2682314	HGNC:17808	Early-gestation	1	2.3777e-09
MGI:3583942	HGNC:25675	Early-gestation	0.98358	0.016411
MGI:104560	HGNC:8016	Early-gestation	0.018338	0.98087
MGI:106331	HGNC:28760	Early-gestation	0.048839	0.86612
MGI:106341	HGNC:850	Early-gestation	0.058145	0.92609
MGI:106374	HGNC:22229	Early-gestation	0.99981	0.00019121
MGI:109584	HGNC:17346	Early-gestation	1	2.4514e-06
MGI:1097163	HGNC:9176	Early-gestation	0.00097201	0.99675
MGI:1098802	HGNC:24224	Early-gestation	1	2.4212e-08
MGI:1195458	HGNC:69	Early-gestation	0.9738	0.026202
MGI:1289227	HGNC:13195	Early-gestation	7.2736e-11	0.13673
MGI:1337100	HGNC:12754	Early-gestation	0.99892	0.0010842
MGI:1350930	HGNC:11304	Early-gestation	0.41934	0.54939
MGI:1353498	HGNC:10989	Early-gestation	0.074834	0.92296
MGI:1858202	HGNC:9760	Early-gestation	0.99151	0.0084856
MGI:1913327	HGNC:24114	Early-gestation	9.9678e-05	0.36677
MGI:1913388	HGNC:16405	Early-gestation	7.6593e-05	0.99635
MGI:1913431	HGNC:14378	Early-gestation	0.76943	0.22335
MGI:1913479	HGNC:21370	Early-gestation	0.00015563	0.88347
MGI:1914486	HGNC:23789	Early-gestation	0.057122	0.92668
MGI:1914743	HGNC:28484	Early-gestation	0.61175	0.38825
MGI:1915525	HGNC:10289	Early-gestation	0.08777	0.91223
MGI:1915526	HGNC:15954	Early-gestation	6.0443e-16	0.0075038
MGI:1915956	HGNC:21965	Early-gestation	3.2975e-09	0.5256
MGI:1916233	HGNC:21876	Early-gestation	5.293e-13	0.98566
MGI:1916956	HGNC:19742	Early-gestation	1.107e-08	0.1871
MGI:1919999	HGNC:7801	Early-gestation	2.5965e-13	0.99993
MGI:1921727	HGNC:29110	Early-gestation	1.5545e-28	0.0019593
MGI:1923547	HGNC:25160	Early-gestation	0.00040289	0.65267
MGI:1923800	HGNC:28152	Early-gestation	1.8941e-09	0.23886
MGI:1923988	HGNC:25459	Early-gestation	0.00016932	0.9996
MGI:1924823	HGNC:18179	Early-gestation	0.18206	0.81793
MGI:1928137	HGNC:14508	Early-gestation	1.4768e-05	0.96484
MGI:1928140	HGNC:14511	Early-gestation	0.00047858	0.68965
MGI:1929285	HGNC:17151	Early-gestation	3.3618e-07	0.34489
MGI:1929492	HGNC:24047	Early-gestation	0.011822	0.98817
MGI:1931520	HGNC:15594	Early-gestation	1.1785e-08	0.79269
MGI:2141866	HGNC:29550	Early-gestation	0.00063968	0.99522
MGI:2142632	HGNC:32456	Early-gestation	6.1729e-09	0.24755
MGI:2177178	HGNC:17098	Early-gestation	1	7.1662e-09
MGI:2444136	HGNC:25133	Early-gestation	5.4482e-05	0.97276
MGI:2685013	HGNC:18622	Early-gestation	2.5926e-07	0.99982
MGI:3026886	HGNC:26929	Early-gestation	3.2889e-07	0.79096
MGI:96112	HGNC:4982	Early-gestation	0.94884	0.051161
MGI:97402	HGNC:8109	Early-gestation	0.16966	0.82982
MGI:99690	HGNC:30073	Early-gestation	8.7346e-07	0.99985
MGI:2444554	HGNC:18752	Mid-gestation	0.99991	8.626e-05
MGI:88475	HGNC:2269	Mid-gestation	0.87383	0.12471
MGI:2442115	HGNC:25706	Mid-gestation	3.061e-14	0.9997
MGI:1338881	HGNC:11344	Mid-gestation	0.56042	0.43958
MGI:1926142	HGNC:25248	Mid-gestation	7.8157e-09	0.97468
MGI:106651	HGNC:6727	Late-gestation	0.3211	0.61783
MGI:1928753	HGNC:8869	Late-gestation	0.00056773	0.72529
MGI:1354962	HGNC:2232	Late-gestation	1	2.0118e-08
MGI:109544	HGNC:356	Mid-gestation	3.5143e-33	0.004861
MGI:109637	HGNC:3444	Mid-gestation	0.98968	0.01032
MGI:1202392	HGNC:4446	Mid-gestation	5.4966e-09	0.85095
MGI:1203729	HGNC:8971	Mid-gestation	0.010126	0.98987
MGI:1270863	HGNC:9358	Mid-gestation	0.08025	0.91975
MGI:1338944	HGNC:172	Mid-gestation	0.99969	0.00031361
MGI:1342286	HGNC:3750	Mid-gestation	5.5313e-12	1
MGI:1347054	HGNC:4417	Mid-gestation	1.6024e-07	0.23721
MGI:1913653	HGNC:20995	Mid-gestation	0.80542	0.19362
MGI:1914806	HGNC:18858	Mid-gestation	5.3861e-05	0.69857
MGI:1915068	HGNC:26050	Mid-gestation	0.029285	0.92826
MGI:1922967	HGNC:2556	Mid-gestation	1	2.9987e-06
MGI:1930618	HGNC:1573	Mid-gestation	0.00069333	0.99931
MGI:1931249	HGNC:20584	Mid-gestation	2.6127e-05	0.92997
MGI:2148922	HGNC:14129	Mid-gestation	0.00010292	0.9999
MGI:2448530	HGNC:23595	Mid-gestation	1.0749e-06	1
MGI:88537	HGNC:2444	Mid-gestation	0.99977	0.0002335
MGI:95522	HGNC:3688	Mid-gestation	0.99984	0.00016128
MGI:95568	HGNC:3791	Mid-gestation	0.12642	0.86915
MGI:102556	HGNC:11603	Mid-gestation	0.5048	0.49517
MGI:104673	HGNC:9645	Mid-gestation	0.99996	4.189e-05
MGI:1100846	HGNC:9234	Mid-gestation	1	9.4011e-08
MGI:1196325	HGNC:23303	Mid-gestation	0.97908	0.020919
MGI:1333114	HGNC:14135	Mid-gestation	1.3575e-06	0.95661
MGI:1345643	HGNC:16466	Mid-gestation	0.99992	7.7016e-05
MGI:1347008	HGNC:9083	Mid-gestation	6.1305e-13	0.98831
MGI:1915896	HGNC:26404	Mid-gestation	0.065215	0.93467
MGI:1916366	HGNC:30313	Mid-gestation	1	2.0413e-30
MGI:1922928	HGNC:14645	Mid-gestation	0.8741	0.1259
MGI:1923661	HGNC:29669	Mid-gestation	1.8153e-11	0.032803
MGI:1924298	HGNC:17966	Mid-gestation	4.2942e-14	0.91163
MGI:1924748	HGNC:14671	Mid-gestation	1.1352e-09	0.77138
MGI:1925152	HGNC:13420	Mid-gestation	0.0091474	0.98867
MGI:1927234	HGNC:11449	Mid-gestation	0.00048193	0.97064
MGI:2385110	HGNC:29509	Mid-gestation	0.79479	0.20498
MGI:2677480	HGNC:28369	Mid-gestation	0.00047835	0.99824
MGI:2682064	HGNC:30391	Mid-gestation	3.2682e-33	0.99955
MGI:3576210	HGNC:28988	Mid-gestation	3.0137e-07	0.9835
MGI:95662	HGNC:4171	Mid-gestation	0.97927	0.020723
MGI:95718	HGNC:4280	Mid-gestation	0.98795	0.012043
MGI:95768	HGNC:4381	Mid-gestation	0.86735	0.13258
MGI:95791	HGNC:4432	Mid-gestation	0.0011573	0.99707
MGI:96647	HGNC:6205	Mid-gestation	0.86299	0.13521
MGI:99433	HGNC:655	Mid-gestation	0.95992	0.040003
